url,title,description,duration,channel_id,channel,view_count,lang,file,region
https://www.youtube.com/watch?v=Yp9LaRbLyLo,“I Look Like a Beer” - Sean Patton - Stand-Up Featuring,"Sean Patton takes the stage to share his failure to complete a sober January, parse out what’s really going on in Texas and why he takes umbrage with the word “cowboy.”

Paramount+ is...",950.0,standup,Comedy Central Stand-Up,71116.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=wqW89Uaf3ig,"“I’ve Seen This Movie, Motherf*cker”- Kalea McNeill - Stand-Up Featuring","Kalea McNeill shares all the strangest details of her time on the road, from a deeply bizarre hotel room to learning that poutine is not what she thought it was. 

Paramount+ is here! Stream...",1033.0,standup,Comedy Central Stand-Up,44588.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=brIvQJxU3_Y,"“Ciao Bella, B*tch” - Papp Johnson - Stand-Up Featuring","Papp Johnson takes the stage to divulge a strange airport toilet incident, how he almost lost his life to a pair of boobs and why he has an issue with Stranger Things.

Paramount+ is here!...",713.0,standup,Comedy Central Stand-Up,25540.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=GLAXEOcEBPo,Jacking off in International Waters - Andrea Jin - Stand-Up Featuring,"Andrea Jin takes the stage to discuss the perils of being a female comedian, an unsightly bus interaction and how to handle a 27-year-old virgin.

Paramount+ is here! Stream all your favorite...",560.0,standup,Comedy Central Stand-Up,76151.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=D9NBch3cqtQ,A Song About Dudes Being Dudes - Morgan Jay - Stand-Up Featuring,"Morgan Jay and his guitar take the stage musical comedy-style to sing about his ex-girlfriend and his new best friend and crush, Dennis.

Paramount+ is here! Stream all your favorite shows...",626.0,standup,Comedy Central Stand-Up,80173.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=p-hxCaVoU7o,Selling an iPod to Margot Robbie - Logan Guntzelman - Stand-Up Featuring,"Logan Guntzelman takes the stage to tell stories about a particularly crappy roommate, the time she encountered Stevie Wonder at the Apple Store and a particularly strange medical procedure....",652.0,standup,Comedy Central Stand-Up,61469.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=g655iOupJGM,What White Women and Alligators Have in Common - Sydney Castillo - Stand-Up Featuring,"Sydney Castillo raises some questions about the price of Plan B, reveals the consequences of a dose of Zoloft and tells a story about a white woman who needed his help.

Paramount+ is here!...",454.0,standup,Comedy Central Stand-Up,225136.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=098l6o46i9w,“What to Do in Bed (Creative)” - Amy Silverberg - Stand-Up Featuring,"Amy Silverberg admits to rating herself on Rate My Professor, theorizes why men wear baseball caps and reveals why she’s hesitant to move in with her “golden retriever” boyfriend.

Paramount+...",820.0,standup,Comedy Central Stand-Up,58339.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=L30jZojyqQY,“A Gluten-Free Poodle…” - Derrick Stroup - Stand-Up Featuring,"Derrick Stroup lets loose on his issues with hikers, dog owners and hipsters.

Paramount+ is here! Stream all your favorite shows now on Paramount+. Try it FREE at https://bit.ly/3qyOeOf

About...",473.0,standup,Comedy Central Stand-Up,264314.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=GvVXyXNFvrg,“He Thought My Dad Was My Sugar Daddy” - Gus Constantellis - Stand-Up Featuring,"Gus Constantellis laments the perils of having a ridiculously long name, serving as a translator for his Greek-speaking family and processing his mother’s recent passing.

Paramount+ is here!...",838.0,standup,Comedy Central Stand-Up,113004.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=CtkKRD2Myw4,Becoming More Liberal to Get P*ssy in Brooklyn - Lucas Zelnick - Stand-Up Featuring,"Lucas Zelnick takes the stage to share his issues with Europe, the real reason why he’s not religious and the ins and outs of having a sister with special needs.

Paramount+ is here! Stream...",387.0,standup,Comedy Central Stand-Up,29277.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=InoXXYhDXGM,"""I Used to Rob Houses” - Ethan Simmons-Patterson - Stand-Up Featuring","Ethan Simmons-Patterson delves into his crime-committing past, ponders what is happening in the woods and explains how millennials were traumatized by the internet. 

Paramount+ is here! Stream...",729.0,standup,Comedy Central Stand-Up,349573.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=ET8upt3CMhY,Your First Time in Trader Joe’s Is Like a Quinceañera - Chinedu Unaka - Stand-Up Featuring,"Chinedu Unaka reflects upon his first time in Trader Joe’s, realizes why he never made it to the NBA and reveals that he was a serious bed-wetter.

Paramount+ is here! Stream all your favorite...",708.0,standup,Comedy Central Stand-Up,85277.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=HufoGj5VZXk,Hibachi After a Funeral - Asha Ward - Stand-Up Featuring,"Asha Ward takes the stage to go after adults who eat jolly ranchers, explain how she was the Princess Diana of her mental hospital and question Black people’s obsession with hibachi.

Paramount+...",647.0,standup,Comedy Central Stand-Up,81249.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=Xt8ShdP1-aM,"""Lil Wayne’s a Safe Little Gremlin” - Eagle Witt - Stand-Up Featuring","Eagle Witt offers some changes that could be made to gun laws and contemplates what would happen if Lil Wayne conducted background checks.

Paramount+ is here! Stream all your favorite shows...",399.0,standup,Comedy Central Stand-Up,40309.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=uhrnMPwKZu0,“You Can’t Be Tough with a Tree Nut Allergy” - Ayanna Dookie - Stand-Up Featuring,"Ayanna Dookie laments not having a big enough ass, reveals how she tricked her husband into marrying her and shares the worst compliment she has ever received.

Paramount+ is here! Stream all...",790.0,standup,Comedy Central Stand-Up,78736.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=yoZRwfCjshs,“I Didn’t Expect the Story to End Like That Either” - Doug Stanhope - This Is Not Happening,"Doug tells the story of meeting the most beautiful woman he's likely ever seen in his life...but the ending isn't so beautiful. 

Paramount+ is here! Stream all your favorite shows now on Paramount...",429.0,standup,Comedy Central Stand-Up,88186.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=pogtQBFobDU,93 Year-Old Tinder Grandma - Randall Otis - Stand-Up Featuring,"Randall Otis takes the stage to share how his sex life has drastically improved, the issue with Greyhound busses and his mission to help his grandma find a new boyfriend.

Paramount+ is here!...",678.0,standup,Comedy Central Stand-Up,30276.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=dGPEBuTSmQg,Professional Soccer Player Turned Comedian - Kate Sisk - Stand-Up Featuring,"Kate Sisk jokes about life as a retired professional soccer player, the trick to becoming a millennial homeowner and speaking Spanish to their dog.

Paramount+ is here! Stream all your favorite...",520.0,standup,Comedy Central Stand-Up,29573.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=-bbt92u2Xuw,“Chalamet-Obsessed Perverts”- Sam Morrison - Stand-Up Featuring,"Sam Morrison recalls the time he learned about “water sports,” gets nostalgic over the family computer and makes a strong case for why “belly is the new ass.”

Paramount+ is here! Stream...",599.0,standup,Comedy Central Stand-Up,138363.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=GjGY3Pi5h0A,“Four Assassins at a Table” - Steve Simone - This Is Not Happening,"Steve Simone tells the story of an unexpected encounter with some surprisingly kind gangsters after a show early in his career.

Original airdate: April 5, 2016

Paramount+ is here! Stream...",408.0,standup,Comedy Central Stand-Up,17955.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
https://www.youtube.com/watch?v=stFYrdWz4_w,"“Hey, Go Fix My Business” - Usama Siddiquee - Stand-Up Featuring","Usama Siddiquee shares his experiences growing up with immigrant parents, the time he questioned his faith and why we need to stop doing shots. 

Paramount+ is here! Stream all your favorite...",648.0,standup,Comedy Central Stand-Up,72011.0,en,./CSV_clean/ComedyCentralUS_standup_v2_filtered.csv,en_us
